time,x,y,yaw,v,omega
1627480342.92186,1.620534896850586,3.86698055267334,3.1394400594918963,0.18600411713123322,0.27737507224082947
1627480342.9649222,1.6265082359313965,3.866990089416504,-3.1363918777194564,0.18100975453853607,-190.17672729492188
1627480343.0097117,1.6157517433166504,3.8668899536132812,-3.128256320947467,0.18872003257274628,0.14272907376289368
1627480343.05329,1.6096277236938477,3.8667755126953125,-3.117563008374206,0.18561169505119324,0.3240397572517395
1627480343.1153572,1.6033530235290527,3.8665990829467773,-3.109265323881584,0.1902136504650116,0.25144490599632263
1627480343.161685,1.5868144035339355,3.865903854370117,-3.089890951706756,0.18810442090034485,0.22016330063343048
1627480343.20423,1.5807242393493652,3.8655595779418945,-3.0804829602849786,0.1848447173833847,0.285090833902359
1627480343.248587,1.5712780952453613,3.864943504333496,-3.072497604321814,0.18204224109649658,0.1535644829273224
1627480343.2979307,1.5652189254760742,3.864511489868164,-3.068265202414057,0.18407772481441498,0.1282547414302826
1627480343.3417127,1.5564632415771484,3.8638200759887695,-3.057355876985599,0.18686826527118683,0.23211316764354706
1627480343.3851562,1.550337791442871,3.863266944885254,-3.045708418502785,0.19220302999019623,0.3639832139015198
1627480343.4332907,1.537900447845459,3.8619842529296875,-3.031908997683142,0.1866190880537033,0.20596162974834442
1627480343.4775043,1.531839370727539,3.8612966537475586,-3.02540445258961,0.1848447173833847,0.19710713624954224
1627480343.5213,1.5207395553588867,3.8599014282226562,-3.007637040357152,0.18339873850345612,0.29126933217048645
1627480343.5652056,1.5146217346191406,3.8590574264526367,-3.0013699510007883,0.1871456801891327,0.18991123139858246
1627480343.6131904,1.503079891204834,3.8573427200317383,-2.98691010737758,0.1852099448442459,0.22952140867710114
1627480343.656825,1.497056484222412,3.8563804626464844,-2.9793753671739713,0.1848447173833847,0.22832553088665009
1627480343.7026985,1.4910173416137695,3.855356216430664,-2.967782036140096,0.1914120614528656,0.36229193210601807
1627480343.702711,1.484816074371338,3.8542327880859375,-2.956966655003668,0.1853635609149933,0.3180994689464569
1627480343.749237,1.478799819946289,3.853083610534668,-2.9486496534285425,0.18561169505119324,0.2520301043987274
1627480343.7604942,1.4704890251159668,3.8514041900634766,-2.9356722916476232,0.1884240061044693,0.288385808467865
1627480343.8158624,1.4645962715148926,3.8501548767089844,-2.929686075821919,0.18254373967647552,0.18140041828155518
1627480343.8911424,1.4584879875183105,3.8488245010375977,-2.92449857975709,0.19536685943603516,0.16210973262786865
1627480343.9418962,1.4509086608886719,3.8471126556396484,-2.9144217788572835,0.18070653080940247,0.2343432903289795
1627480343.9861042,1.4447264671325684,3.8456497192382812,-2.9041557260016573,0.19251461327075958,0.31109288334846497
1627480343.9861157,1.4329142570495605,3.842702865600586,-2.8900046683558998,0.18446122109889984,0.21441054344177246
1627480344.0299206,1.4269394874572754,3.8411407470703125,-2.8817047938212728,0.1871456801891327,0.2515099346637726
